POA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA6236,0,0,0,0,0,0,0,0,0,16,26,5,47,3,3,5,52,10,0,65
POA6237,0,0,0,0,0,0,0,0,0,28,20,0,51,0,3,3,53,27,0,78
POA6239,0,0,0,0,0,0,3,0,3,20,28,7,55,4,6,16,70,54,0,120
POA6240,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,3
POA6243,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,5
POA6244,0,0,0,0,0,0,0,0,0,3,9,4,22,0,3,3,18,15,0,38
POA6251,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,11,6,0,11
POA6252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA6253,0,0,0,0,0,0,0,0,0,4,8,0,9,0,0,4,18,3,0,21
POA6254,0,0,0,0,0,0,0,0,0,10,0,3,13,0,0,0,18,12,0,28
POA6255,0,0,0,0,0,0,0,0,0,31,31,3,64,0,4,5,72,44,0,114
POA6256,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,4
POA6258,0,0,0,0,0,0,0,5,8,60,70,8,145,11,10,22,165,98,4,267
POA6260,0,0,0,0,0,0,0,0,0,18,10,0,25,0,4,4,31,15,0,46
POA6262,0,0,0,0,0,0,0,0,0,5,3,0,8,0,0,0,13,11,0,24
POA6271,0,0,0,0,0,0,0,3,3,29,38,6,77,0,5,6,81,67,3,152
POA6275,0,0,0,0,0,0,0,0,3,7,14,3,22,0,3,3,22,19,0,41
POA6280,0,0,0,0,0,4,12,3,22,289,333,27,652,34,42,78,724,372,7,1103
POA6281,0,4,0,0,0,4,0,0,3,49,81,11,139,3,5,10,152,48,0,201
POA6282,0,0,0,0,0,0,0,0,0,7,5,0,15,0,0,0,15,8,0,25
POA6284,0,0,0,0,0,0,0,0,0,15,32,3,49,3,0,3,54,13,0,65
POA6285,0,0,0,0,0,0,3,0,4,123,139,15,275,6,3,10,286,96,0,383
POA6286,0,0,0,0,0,0,0,0,0,6,4,0,5,0,0,0,8,6,0,12
POA6288,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,3,7,10,0,15
POA6290,0,0,0,0,0,0,0,0,0,7,11,3,24,3,3,3,28,19,0,52
POA6302,0,0,0,0,0,0,0,0,0,33,30,3,64,3,6,9,75,55,0,136
POA6304,0,0,0,0,0,0,0,0,0,6,13,0,21,0,0,0,23,22,0,45
POA6306,0,0,0,0,0,0,0,0,3,9,3,0,10,3,4,3,10,12,3,30
POA6308,0,0,0,0,0,0,0,0,3,10,8,3,18,3,3,8,23,26,0,52
POA6309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
POA6311,0,0,0,0,0,0,0,0,0,3,4,0,8,0,0,0,7,0,0,6
POA6312,0,0,0,0,0,0,7,0,11,53,53,3,112,3,6,6,123,94,6,218
POA6313,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,3
POA6315,0,0,0,0,0,0,0,0,0,9,14,0,27,3,5,7,34,36,0,70
POA6316,0,0,0,0,0,0,0,0,0,5,3,0,6,0,0,0,6,5,0,9
POA6317,0,0,0,0,0,0,7,3,9,27,36,6,71,8,3,6,74,67,5,147
POA6318,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,6,0,20
POA6320,0,0,0,0,0,0,3,0,7,3,0,0,7,0,0,0,9,16,3,25
POA6321,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,4,0,8
POA6322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8
POA6323,0,0,0,0,0,0,0,0,3,7,6,0,21,0,0,0,20,18,0,40
POA6324,0,0,0,0,0,0,0,0,0,30,36,3,61,3,3,10,69,53,0,128
POA6326,0,0,0,0,0,0,0,0,0,7,5,0,10,0,0,0,7,3,0,14
POA6327,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,8
POA6328,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,6,0,10
POA6330,3,10,0,0,0,10,17,4,29,344,424,32,800,31,39,73,873,533,7,1411
POA6333,0,0,0,0,0,0,0,0,3,36,76,4,120,7,13,17,138,70,0,206
POA6335,0,0,0,0,0,0,0,0,0,3,0,0,10,3,0,3,8,13,0,22
POA6336,0,0,0,0,0,0,0,0,0,7,3,0,9,0,0,0,13,0,0,12
POA6337,0,0,0,0,0,0,0,3,3,8,9,0,16,0,0,3,20,0,3,19
POA6338,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,6,0,0,6
POA6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
