POA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
POA6525,14,17,8,13,6,20,29,93,7,209,8,17,16,22,28,25,11,22,0,155,9,12,20,18,42,45,36,74,9,270,5,28,14,36,20,11,0,3,4,125,3,42,26,26,28,23,7,17,3,173,3,21,18,15,14,0,0,8,0,89,10,16,7,9,4,14,17,58,4,123,16,56,27,34,9,20,18,37,3,207,3,0,0,0,3,4,0,4,18,40,63,219,131,172,157,170,114,320,46,1389
POA6528,3,3,3,0,6,3,3,21,0,37,3,3,0,3,6,4,3,3,0,24,0,9,3,0,0,3,0,13,0,25,0,3,3,3,0,0,0,0,0,12,0,5,0,0,3,4,0,0,0,24,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,20,0,30,0,3,3,3,4,3,0,6,0,25,0,0,0,0,0,0,0,0,0,0,15,27,16,19,21,15,8,63,3,181
POA6530,43,63,51,91,209,254,215,445,10,1378,137,168,204,239,450,491,224,352,13,2279,96,125,124,176,408,571,294,553,35,2376,78,249,239,306,283,244,74,135,17,1629,63,205,182,258,460,272,129,135,18,1728,44,359,190,214,233,157,94,90,20,1401,81,47,55,92,111,174,148,456,29,1196,107,370,210,259,198,172,93,207,42,1660,18,18,9,23,31,32,23,39,63,265,667,1610,1265,1663,2384,2375,1290,2412,246,13907
POA6532,29,22,23,33,47,63,54,259,10,543,36,37,50,59,80,86,51,54,0,453,31,20,11,38,75,111,71,156,3,523,16,47,50,58,43,36,16,22,3,292,21,52,47,64,80,61,23,29,4,388,4,71,24,43,43,24,16,16,0,247,28,10,7,14,29,37,44,132,13,313,9,63,36,35,18,37,22,54,7,283,0,4,0,3,9,7,3,12,16,50,175,326,252,344,425,475,299,738,63,3096
POA6535,3,7,6,11,11,19,18,88,3,174,9,8,8,10,3,8,7,16,0,67,3,6,4,5,4,11,3,16,3,57,0,4,9,11,14,7,9,4,3,62,0,11,5,3,10,6,0,0,0,46,0,8,3,9,3,0,6,4,0,33,7,4,5,9,3,21,5,27,0,91,4,20,12,6,7,9,8,12,3,86,0,3,0,0,0,0,0,3,3,12,31,71,59,61,52,91,58,179,12,618
POA6536,4,10,3,9,3,6,17,39,3,99,4,7,9,10,15,9,5,14,4,73,9,5,7,12,6,15,9,25,0,85,11,20,9,17,12,3,7,3,0,81,3,17,8,20,8,9,0,4,0,63,4,14,6,10,4,6,3,5,0,64,0,0,0,0,0,7,7,24,0,41,14,30,21,21,20,12,4,25,5,155,4,0,0,0,0,7,0,3,3,18,52,103,70,95,67,68,50,140,22,671
POA6537,3,3,7,3,4,8,9,29,3,65,3,6,0,10,6,9,4,14,0,49,3,6,5,6,9,10,6,21,3,71,0,3,5,12,12,10,3,8,0,49,0,5,4,3,5,10,3,5,0,40,3,3,6,4,6,4,0,7,0,31,0,0,0,0,4,0,0,21,0,25,9,15,4,9,9,5,3,9,6,64,0,0,0,0,0,0,0,0,0,5,19,38,30,51,53,60,31,100,9,402
POA6556,6,4,3,6,13,28,6,38,0,104,15,11,23,18,27,29,9,21,0,160,8,13,14,17,33,50,23,46,3,201,8,33,19,16,16,16,11,0,0,122,3,18,8,16,25,19,7,6,0,108,4,20,21,7,5,12,5,5,3,89,3,6,4,7,13,16,9,37,3,98,3,21,17,17,7,20,6,15,0,104,0,0,3,0,3,3,0,3,4,20,57,125,104,102,145,191,83,177,15,999
POA6558,0,3,3,6,4,8,3,17,0,51,0,3,5,6,7,15,3,0,0,47,0,8,10,6,13,15,6,21,3,85,0,10,8,4,0,11,0,3,0,35,3,3,8,9,16,7,3,11,0,50,0,6,3,5,5,0,3,0,0,20,3,3,0,3,3,5,3,8,0,23,3,12,3,4,4,5,3,8,0,41,0,3,0,0,0,4,0,0,7,13,18,42,37,43,53,75,24,68,10,362
POA6560,0,4,3,7,3,10,0,10,0,34,0,0,3,4,16,10,4,6,0,52,10,3,0,7,20,35,16,19,0,112,8,11,5,8,11,11,9,8,0,72,4,12,5,6,20,22,3,6,0,77,0,13,9,11,10,3,3,0,3,52,3,3,8,7,10,11,4,26,0,66,7,6,15,12,16,23,5,13,3,108,3,0,0,0,0,3,0,3,0,12,34,61,51,63,103,131,52,91,10,590
